url,fav,lat,lon
https://www.zomato.com/pune/mauli-family-paan-house-sadashiv-peth,₹100 for two people (approx.),18.5128511711,73.8451446220
https://www.zomato.com/pune/momos-hut-wakad,₹200 for two people (approx.),18.5949016245,73.7600015849
https://www.zomato.com/pune/konkan-katta-sinhgad-road,₹650 for two people (approx.),18.4567988870,73.7875009328
https://www.zomato.com/pune/food-compass-by-panthi-wakad,₹300 for two people (approx.),18.6055079426,73.7527589500
https://www.zomato.com/pune/bistro-nutrifood-viman-nagar,₹500 for two people (approx.),18.5656470000,73.9138280000
https://www.zomato.com/pune/kerala-spice-pimple-gurav,₹300 for two people (approx.),18.5997774734,73.8159001619
https://www.zomato.com/pune/lions-dhaaba-town-lonavala,"₹1,200 for two people (approx.)",18.7612169919,73.4583680949
https://www.zomato.com/pune/rasna-buzz-sadashiv-peth,₹300 for two people (approx.),18.5066570000,73.8506060000
https://www.zomato.com/pune/k-9-yummy-momos-centre-koregaon-park,₹150 for two people (approx.),18.5346147106,73.8972116634
https://www.zomato.com/pune/filli-bites-wadgaon-sheri,₹300 for two people (approx.),18.5474561848,73.9156823605
https://www.zomato.com/pune/fruitango-wakad,₹300 for two people (approx.),18.6036410000,73.7614640000
https://www.zomato.com/pune/aromas-biryani-house-kothrud,₹300 for two people (approx.),18.5113980000,73.8141730000
https://www.zomato.com/pune/shiv-malhar-special-misal-house-katraj,₹250 for two people (approx.),18.4496185644,73.8401148096
https://www.zomato.com/pune/yes-momos-chandan-nagar,₹100 for two people (approx.),18.5551069531,73.9341594279
https://www.zomato.com/pune/juice-destination-1-kothrud,₹400 for two people (approx.),18.5025700000,73.8024770000
https://www.zomato.com/pune/filli-bites-nibm-road,"Chicken Shawarama, Burgers, Fries, Zinger Burger, Chicken Grill, Rumali Roti",18.4739331919,73.8934495300
https://www.zomato.com/pune/china-delight-hadapsar,₹300 for two people (approx.),18.5003430000,73.9308890000
https://www.zomato.com/pune/super-burgers-pashan,₹500 for two people (approx.),18.5502070000,73.7940600000
https://www.zomato.com/pune/bait-brasserie-deccan-gymkhana,"Neer Dosa, Cocktails, Wasabi Prawns, Crackling Spinach, Bacon Pizza, Panna Cotta",18.5160380357,73.8397617638
https://www.zomato.com/pune/the-chocolate-cafe-balewadi,"Brownie, Pasta, Coffee, Waffles, Chocolate Pancakes, Salad, Ferrero Rocher Shake",18.5742743246,73.7765005231
https://www.zomato.com/pune/lokseva-sms-dhaba-katraj,₹300 for two people (approx.),18.4558947242,73.8490730524
https://www.zomato.com/pune/wafflin-around-wakad,₹300 for two people (approx.),18.5952575306,73.7687070295
https://www.zomato.com/pune/imperial-biryani-kharadi,₹200 for two people (approx.),18.5622310000,73.9396059000
https://www.zomato.com/pune/breakfirst-kharadi,₹400 for two people (approx.),18.5569997263,73.9330959320
https://www.zomato.com/pune/alishan-chinese-kondhwa,₹400 for two people (approx.),18.4662829278,73.8850216940
https://www.zomato.com/pune/69-only-katraj,₹300 for two people (approx.),18.4566700847,73.8533176482
